Hex	Rank	Emoji	Year	Category	Subcategory	Name
\x{1F600}	61	😀	2015	Smileys & Emotion	face-smiling	grinning face
\x{1F48B}	62	💋	2010	Smileys & Emotion	emotion	kiss mark
\x{1F480}	63	💀	2010	Smileys & Emotion	face-negative	skull
\x{1F447}	64	👇	2010	People & Body	hand-single-finger	backhand index pointing down
\x{1F494}	65	💔	2010	Smileys & Emotion	emotion	broken heart
\x{1F60C}	66	😌	2010	Smileys & Emotion	face-sleepy	relieved face
\x{1F493}	67	💓	2010	Smileys & Emotion	emotion	beating heart
\x{1F929}	68	🤩	2017	Smileys & Emotion	face-affection	star-struck
\x{1F643}	69	🙃	2015	Smileys & Emotion	face-smiling	upside-down face
\x{1F62C}	70	😬	2015	Smileys & Emotion	face-neutral-skeptical	grimacing face
\x{1F631}	71	😱	2010	Smileys & Emotion	face-concerned	face screaming in fear
\x{1F634}	72	😴	2015	Smileys & Emotion	face-sleepy	sleeping face
\x{1F92D}	73	🤭	2017	Smileys & Emotion	face-hand	face with hand over mouth
\x{1F610}	74	😐	2014	Smileys & Emotion	face-neutral-skeptical	neutral face
\x{1F31E}	75	🌞	2015	Travel & Places	sky & weather	sun with face
\x{1F612}	76	😒	2010	Smileys & Emotion	face-neutral-skeptical	unamused face
\x{1F607}	77	😇	2015	Smileys & Emotion	face-smiling	smiling face with halo
\x{1F338}	78	🌸	2010	Animals & Nature	plant-flower	cherry blossom
\x{1F608}	79	😈	2015	Smileys & Emotion	face-negative	smiling face with horns
\x{1F3B6}	80	🎶	2010	Objects	music	musical notes
\x{270C FE0F}	81	✌️	2010	People & Body	hand-fingers-partial	victory hand
\x{1F38A}	82	🎊	2010	Activities	event	confetti ball
\x{1F975}	83	🥵	2018	Smileys & Emotion	face-unwell	hot face
\x{1F61E}	84	😞	2010	Smileys & Emotion	face-concerned	disappointed face
\x{1F49A}	85	💚	2010	Smileys & Emotion	emotion	green heart
\x{2600 FE0F}	86	☀️	2010	Travel & Places	sky & weather	sun
\x{1F5A4}	87	🖤	2016	Smileys & Emotion	emotion	black heart
\x{1F4B0}	88	💰	2010	Objects	money	money bag
\x{1F61A}	89	😚	2010	Smileys & Emotion	face-affection	kissing face with closed eyes
\x{1F451}	90	👑	2010	Objects	clothing	crown
\x{1F381}	91	🎁	2010	Activities	event	wrapped gift
\x{1F4A5}	92	💥	2010	Smileys & Emotion	emotion	collision
\x{1F64B}	93	🙋	2010	People & Body	person-gesture	person raising hand
\x{2639 FE0F}	94	☹️	2014	Smileys & Emotion	face-concerned	frowning face
\x{1F611}	95	😑	2015	Smileys & Emotion	face-neutral-skeptical	expressionless face
\x{1F974}	96	🥴	2018	Smileys & Emotion	face-unwell	woozy face
\x{1F448}	97	👈	2010	People & Body	hand-single-finger	backhand index pointing left
\x{1F4A9}	98	💩	2010	Smileys & Emotion	face-costume	pile of poo
\x{2705}	99	✅	2010	Symbols	other-symbol	check mark button
\x{1F44B}	100	👋	2010	People & Body	hand-fingers-open	waving hand
\x{1F92E}	101	🤮	2017	Smileys & Emotion	face-unwell	face vomiting
\x{1F624}	102	😤	2010	Smileys & Emotion	face-negative	face with steam from nose
\x{1F922}	103	🤢	2016	Smileys & Emotion	face-unwell	nauseated face
\x{1F31F}	104	🌟	2010	Travel & Places	sky & weather	glowing star
\x{2757}	105	❗	2010	Symbols	punctuation	red exclamation mark
\x{1F625}	106	😥	2010	Smileys & Emotion	face-concerned	sad but relieved face
\x{1F308}	107	🌈	2010	Travel & Places	sky & weather	rainbow
\x{1F49B}	108	💛	2010	Smileys & Emotion	emotion	yellow heart
\x{1F61D}	109	😝	2010	Smileys & Emotion	face-tongue	squinting face with tongue
\x{1F62B}	110	😫	2010	Smileys & Emotion	face-concerned	tired face
\x{1F632}	111	😲	2010	Smileys & Emotion	face-concerned	astonished face
\x{1F595}	112	🖕	2015	People & Body	hand-single-finger	middle finger
\x{203C FE0F}	113	‼️	2010	Symbols	punctuation	double exclamation mark
\x{1F534}	114	🔴	2010	Symbols	geometric	red circle
\x{1F33B}	115	🌻	2010	Animals & Nature	plant-flower	sunflower
\x{1F92F}	116	🤯	2017	Smileys & Emotion	face-unwell	exploding head
\x{1F483}	117	💃	2010	People & Body	person-activity	woman dancing
\x{1F44A}	118	👊	2010	People & Body	hand-fingers-closed	oncoming fist
\x{1F92C}	119	🤬	2017	Smileys & Emotion	face-negative	face with symbols on mouth
\x{1F3C3}	120	🏃	2010	People & Body	person-activity	person running
\x{1F615}	121	😕	2015	Smileys & Emotion	face-concerned	confused face
\x{1F441 FE0F}	122	👁️	2014	People & Body	body-parts	eye
\x{26A1}	123	⚡	2010	Travel & Places	sky & weather	high voltage
\x{2615}	124	☕	2010	Food & Drink	drink	hot beverage
\x{1F340}	125	🍀	2010	Animals & Nature	plant-other	four leaf clover
\x{1F4A6}	126	💦	2010	Smileys & Emotion	emotion	sweat droplets
\x{2B50}	127	⭐	2010	Travel & Places	sky & weather	star
\x{1F98B}	128	🦋	2016	Animals & Nature	animal-bug	butterfly
\x{1F928}	129	🤨	2017	Smileys & Emotion	face-neutral-skeptical	face with raised eyebrow
\x{1F33A}	130	🌺	2010	Animals & Nature	plant-flower	hibiscus
\x{1F639}	131	😹	2010	Smileys & Emotion	cat-face	cat with tears of joy
\x{1F918}	132	🤘	2015	People & Body	hand-fingers-partial	sign of the horns
\x{1F337}	133	🌷	2010	Animals & Nature	plant-flower	tulip
\x{1F49D}	134	💝	2010	Smileys & Emotion	emotion	heart with ribbon
\x{1F4A4}	135	💤	2010	Smileys & Emotion	emotion	zzz
\x{1F91D}	136	🤝	2016	People & Body	hands	handshake
\x{1F430}	137	🐰	2010	Animals & Nature	animal-mammal	rabbit face
\x{1F613}	138	😓	2010	Smileys & Emotion	face-concerned	downcast face with sweat
\x{1F498}	139	💘	2010	Smileys & Emotion	emotion	heart with arrow
\x{1F37B}	140	🍻	2010	Food & Drink	drink	clinking beer mugs
\x{1F61F}	141	😟	2015	Smileys & Emotion	face-concerned	worried face
\x{1F623}	142	😣	2010	Smileys & Emotion	face-concerned	persevering face
\x{1F9D0}	143	🧐	2017	Smileys & Emotion	face-glasses	face with monocle
\x{1F620}	144	😠	2010	Smileys & Emotion	face-negative	angry face
\x{1F920}	145	🤠	2016	Smileys & Emotion	face-hat	cowboy hat face
\x{1F63B}	146	😻	2010	Smileys & Emotion	cat-face	smiling cat with heart-eyes
\x{1F319}	147	🌙	2010	Travel & Places	sky & weather	crescent moon
\x{1F61B}	148	😛	2015	Smileys & Emotion	face-tongue	face with tongue
\x{1F919}	149	🤙	2016	People & Body	hand-fingers-partial	call me hand
\x{1F64A}	150	🙊	2010	Smileys & Emotion	monkey-face	speak-no-evil monkey
\x{1F9E1}	151	🧡	2017	Smileys & Emotion	emotion	orange heart
\x{1F921}	152	🤡	2016	Smileys & Emotion	face-costume	clown face
\x{1F92B}	153	🤫	2017	Smileys & Emotion	face-hand	shushing face
\x{1F33C}	154	🌼	2010	Animals & Nature	plant-flower	blossom
\x{1F942}	155	🥂	2016	Food & Drink	drink	clinking glasses
\x{1F637}	156	😷	2010	Smileys & Emotion	face-unwell	face with medical mask
\x{1F913}	157	🤓	2015	Smileys & Emotion	face-glasses	nerd face
\x{2620 FE0F}	158	☠️	2015	Smileys & Emotion	face-negative	skull and crossbones
\x{1F976}	159	🥶	2018	Smileys & Emotion	face-unwell	cold face
\x{1F636}	160	😶	2015	Smileys & Emotion	face-neutral-skeptical	face without mouth
\x{1F616}	161	😖	2010	Smileys & Emotion	face-concerned	confounded face
\x{1F3B5}	162	🎵	2010	Objects	music	musical note
\x{1F6B6}	163	🚶	2010	People & Body	person-activity	person walking
\x{1F619}	164	😙	2015	Smileys & Emotion	face-affection	kissing face with smiling eyes
\x{1F346}	165	🍆	2010	Food & Drink	food-vegetable	eggplant
\x{1F911}	166	🤑	2015	Smileys & Emotion	face-tongue	money-mouth face
\x{1F485}	167	💅	2010	People & Body	hand-prop	nail polish
\x{1F617}	168	😗	2015	Smileys & Emotion	face-affection	kissing face
\x{1F436}	169	🐶	2010	Animals & Nature	animal-mammal	dog face
\x{1F353}	170	🍓	2010	Food & Drink	food-fruit	strawberry
\x{270B}	171	✋	2010	People & Body	hand-fingers-open	raised hand
\x{1F445}	172	👅	2010	People & Body	body-parts	tongue
\x{1F444}	173	👄	2010	People & Body	body-parts	mouth
\x{1F33F}	174	🌿	2010	Animals & Nature	plant-other	herb
\x{1F6A8}	175	🚨	2010	Travel & Places	transport-ground	police car light
\x{27A1 FE0F}	176	➡️	2010	Symbols	arrow	right arrow
\x{1F4E3}	177	📣	2010	Objects	sound	megaphone
\x{1F91F}	178	🤟	2017	People & Body	hand-fingers-partial	love-you gesture
\x{1F351}	179	🍑	2010	Food & Drink	food-fruit	peach
\x{1F343}	180	🍃	2010	Animals & Nature	plant-other	leaf fluttering in wind
\x{1F62E}	181	😮	2015	Smileys & Emotion	face-concerned	face with open mouth
\x{1F48E}	182	💎	2010	Objects	clothing	gem stone
\x{1F4E2}	183	📢	2010	Objects	sound	loudspeaker
\x{1F331}	184	🌱	2010	Animals & Nature	plant-other	seedling
\x{26A0 FE0F}	185	⚠️	2010	Symbols	warning	warning
\x{1F641}	186	🙁	2015	Smileys & Emotion	face-concerned	slightly frowning face
\x{1F377}	187	🍷	2010	Food & Drink	drink	wine glass
\x{1F62A}	188	😪	2010	Smileys & Emotion	face-sleepy	sleepy face
\x{1F31A}	189	🌚	2015	Travel & Places	sky & weather	new moon face
\x{1F3C6}	190	🏆	2010	Activities	award-medal	trophy
\x{1F352}	191	🍒	2010	Food & Drink	food-fruit	cherries
\x{2714 FE0F}	192	✔️	2010	Symbols	other-symbol	check mark
\x{1F489}	193	💉	2010	Objects	medical	syringe
\x{274C}	194	❌	2010	Symbols	other-symbol	cross mark
\x{1F4A2}	195	💢	2010	Smileys & Emotion	emotion	anger symbol
\x{1F6D2}	196	🛒	2016	Objects	household	shopping cart
\x{1F638}	197	😸	2010	Smileys & Emotion	cat-face	grinning cat with smiling eyes
\x{1F43E}	198	🐾	2010	Animals & Nature	animal-mammal	paw prints
\x{1F44E}	199	👎	2010	People & Body	hand-fingers-closed	thumbs down
\x{1F680}	200	🚀	2010	Travel & Places	transport-air	rocket
\x{1F3AF}	201	🎯	2010	Activities	game	bullseye
\x{261D FE0F}	202	☝️	2010	People & Body	hand-single-finger	index pointing up
\x{1F37A}	203	🍺	2010	Food & Drink	drink	beer mug
\x{1F4CC}	204	📌	2010	Objects	office	pushpin
\x{1F4F7}	205	📷	2010	Objects	light & video	camera
\x{1F647}	206	🙇	2010	People & Body	person-gesture	person bowing
\x{1F4A8}	207	💨	2010	Smileys & Emotion	emotion	dashing away
\x{1F355}	208	🍕	2010	Food & Drink	food-prepared	pizza
\x{1F3E0}	209	🏠	2010	Travel & Places	place-building	house
\x{1F4F8}	210	📸	2015	Objects	light & video	camera with flash
\x{1F407}	211	🐇	2015	Animals & Nature	animal-mammal	rabbit
\x{1F6A9}	212	🚩	2010	Flags	flag	triangular flag
\x{1F630}	213	😰	2010	Smileys & Emotion	face-concerned	anxious face with sweat
\x{1F476}	214	👶	2010	People & Body	person	baby
\x{1F30A}	215	🌊	2010	Travel & Places	sky & weather	water wave
\x{1F415}	216	🐕	2014	Animals & Nature	animal-mammal	dog
\x{1F4AB}	217	💫	2010	Smileys & Emotion	emotion	dizzy
\x{1F635}	218	😵	2010	Smileys & Emotion	face-unwell	knocked-out face
\x{1F3A4}	219	🎤	2010	Objects	music	microphone
\x{1F3E1}	220	🏡	2010	Travel & Places	place-building	house with garden
\x{1F940}	221	🥀	2016	Animals & Nature	plant-flower	wilted flower
\x{1F927}	222	🤧	2016	Smileys & Emotion	face-unwell	sneezing face
\x{1F37E}	223	🍾	2015	Food & Drink	drink	bottle with popping cork
\x{1F370}	224	🍰	2010	Food & Drink	food-sweet	shortcake
\x{1F341}	225	🍁	2010	Animals & Nature	plant-other	maple leaf
\x{1F932}	226	🤲	2017	People & Body	hands	palms up together
\x{2B07 FE0F}	227	⬇️	2010	Symbols	arrow	down arrow
\x{1F446}	228	👆	2010	People & Body	hand-single-finger	backhand index pointing up
\x{1F62F}	229	😯	2015	Smileys & Emotion	face-concerned	hushed face
\x{270A}	230	✊	2010	People & Body	hand-fingers-closed	raised fist
\x{1F48C}	231	💌	2010	Smileys & Emotion	emotion	love letter
\x{2744 FE0F}	232	❄️	2010	Travel & Places	sky & weather	snowflake
\x{1F4B8}	233	💸	2010	Objects	money	money with wings
\x{1F9C1}	234	🧁	2018	Food & Drink	food-sweet	cupcake
\x{26BD}	235	⚽	2010	Activities	sport	soccer ball
\x{1F1FA 1F1F8}	236	🇺🇸	2010	Flags	country-flag	flag: United States
\x{2753}	237	❓	2010	Symbols	punctuation	red question mark
\x{1F57A}	238	🕺	2016	People & Body	person-activity	man dancing
\x{2049 FE0F}	239	⁉️	2010	Symbols	punctuation	exclamation question mark
\x{1F63A}	240	😺	2010	Smileys & Emotion	cat-face	grinning cat
\x{1F4A7}	241	💧	2010	Travel & Places	sky & weather	droplet
\x{1F4A3}	242	💣	2010	Smileys & Emotion	emotion	bomb
\x{1F910}	243	🤐	2015	Smileys & Emotion	face-neutral-skeptical	zipper-mouth face
\x{1F34E}	244	🍎	2010	Food & Drink	food-fruit	red apple
\x{1F437}	245	🐷	2010	Animals & Nature	animal-mammal	pig face
\x{1F425}	246	🐥	2010	Animals & Nature	animal-bird	front-facing baby chick
\x{1F481}	247	💁	2010	People & Body	person-gesture	person tipping hand
\x{1F4CD}	248	📍	2010	Objects	office	round pushpin
\x{1F380}	249	🎀	2010	Activities	event	ribbon
\x{1F645}	250	🙅	2010	People & Body	person-gesture	person gesturing NO
\x{1F947}	251	🥇	2016	Activities	award-medal	1st place medal
\x{1F31D}	252	🌝	2015	Travel & Places	sky & weather	full moon face
\x{1F52B}	253	🔫	2010	Objects	tool	water pistol
\x{260E FE0F}	254	☎️	2010	Objects	phone	telephone
\x{1F431}	255	🐱	2010	Animals & Nature	animal-mammal	cat face
\x{1F423}	256	🐣	2010	Animals & Nature	animal-bird	hatching chick
\x{271D FE0F}	257	✝️	2014	Symbols	religion	latin cross
\x{1F3A7}	258	🎧	2010	Objects	music	headphone
\x{1F49F}	259	💟	2010	Smileys & Emotion	emotion	heart decoration
\x{1F479}	260	👹	2010	Smileys & Emotion	face-costume	ogre
\x{1F48D}	261	💍	2010	Objects	clothing	ring
\x{1F37C}	262	🍼	2015	Food & Drink	drink	baby bottle
\x{1F590 FE0F}	263	🖐️	2014	People & Body	hand-fingers-open	hand with fingers splayed
\x{1F4A1}	264	💡	2010	Objects	light & video	light bulb
\x{1F63D}	265	😽	2010	Smileys & Emotion	cat-face	kissing cat
\x{1F34A}	266	🍊	2010	Food & Drink	food-fruit	tangerine
\x{1F628}	267	😨	2010	Smileys & Emotion	face-concerned	fearful face
\x{1F36B}	268	🍫	2010	Food & Drink	food-sweet	chocolate bar
\x{1F9E2}	269	🧢	2017	Objects	clothing	billed cap
\x{1F915}	270	🤕	2015	Smileys & Emotion	face-unwell	face with head-bandage
\x{2618 FE0F}	271	☘️	2015	Animals & Nature	plant-other	shamrock
\x{1F6AB}	272	🚫	2010	Symbols	warning	prohibited
\x{1F3BC}	273	🎼	2010	Objects	music	musical score
\x{1F43B}	274	🐻	2010	Animals & Nature	animal-mammal	bear
\x{1F4F2}	275	📲	2010	Objects	phone	mobile phone with arrow
\x{1F47B}	276	👻	2010	Smileys & Emotion	face-costume	ghost
\x{1F5E3 FE0F}	277	🗣️	2014	People & Body	person-symbol	speaking head
\x{1F47F}	278	👿	2010	Smileys & Emotion	face-negative	angry face with horns
\x{1F9DA}	279	🧚	2017	People & Body	person-fantasy	fairy
\x{1F32E}	280	🌮	2015	Food & Drink	food-prepared	taco
\x{1F36D}	281	🍭	2010	Food & Drink	food-sweet	lollipop
\x{1F41F}	282	🐟	2010	Animals & Nature	animal-marine	fish
\x{1F438}	283	🐸	2010	Animals & Nature	animal-amphibian	frog
\x{1F41D}	284	🐝	2010	Animals & Nature	animal-bug	honeybee
\x{1F408}	285	🐈	2014	Animals & Nature	animal-mammal	cat
\x{1F535}	286	🔵	2010	Symbols	geometric	blue circle
\x{1F327 FE0F}	287	🌧️	2014	Travel & Places	sky & weather	cloud with rain
\x{1F52A}	288	🔪	2010	Food & Drink	dishware	kitchen knife
\x{1F627}	289	😧	2015	Smileys & Emotion	face-concerned	anguished face
\x{1F304}	290	🌄	2010	Travel & Places	place-other	sunrise over mountains
\x{1F63E}	291	😾	2010	Smileys & Emotion	cat-face	pouting cat
\x{2708 FE0F}	292	✈️	2010	Travel & Places	transport-air	airplane
\x{1F938}	293	🤸	2016	People & Body	person-sport	person cartwheeling
\x{1F4F1}	294	📱	2010	Objects	phone	mobile phone
\x{1F347}	295	🍇	2010	Food & Drink	food-fruit	grapes
\x{1F334}	296	🌴	2010	Animals & Nature	plant-other	palm tree
\x{1F422}	297	🐢	2010	Animals & Nature	animal-reptile	turtle
\x{1F303}	298	🌃	2010	Travel & Places	place-other	night with stars
\x{1F47D}	299	👽	2010	Smileys & Emotion	face-costume	alien
\x{1F34C}	300	🍌	2010	Food & Drink	food-fruit	banana
\x{1F4FA}	301	📺	2010	Objects	light & video	television
\x{1F450}	302	👐	2010	People & Body	hands	open hands
\x{23F0}	303	⏰	2010	Travel & Places	time	alarm clock
\x{1F514}	304	🔔	2010	Objects	sound	bell
\x{1F305}	305	🌅	2010	Travel & Places	place-other	sunrise
\x{1F984}	306	🦄	2015	Animals & Nature	animal-mammal	unicorn
\x{2B55}	307	⭕	2010	Symbols	other-symbol	hollow red circle
\x{1F3A5}	308	🎥	2010	Objects	light & video	movie camera
\x{25B6 FE0F}	309	▶️	2010	Symbols	av-symbol	play button
\x{1F34B}	310	🍋	2015	Food & Drink	food-fruit	lemon
\x{1F95A}	311	🥚	2016	Food & Drink	food-prepared	egg
\x{1F4B2}	312	💲	2010	Symbols	currency	heavy dollar sign
\x{1F4DA}	313	📚	2010	Objects	book-paper	books
\x{1F414}	314	🐔	2010	Animals & Nature	animal-bird	chicken
\x{1F3B8}	315	🎸	2010	Objects	musical-instrument	guitar
\x{1F943}	316	🥃	2016	Food & Drink	drink	tumbler glass
\x{1F63F}	317	😿	2010	Smileys & Emotion	cat-face	crying cat
\x{1F697}	318	🚗	2010	Travel & Places	transport-ground	automobile
\x{1F30E}	319	🌎	2014	Travel & Places	place-map	globe showing Americas
\x{1F54A FE0F}	320	🕊️	2014	Animals & Nature	animal-bird	dove
\x{1F50A}	321	🔊	2010	Objects	sound	speaker high volume
\x{1F985}	322	🦅	2016	Animals & Nature	animal-bird	eagle
\x{1F6BF}	323	🚿	2015	Objects	household	shower
\x{1F986}	324	🦆	2016	Animals & Nature	animal-bird	duck
\x{1F349}	325	🍉	2010	Food & Drink	food-fruit	watermelon
\x{1F36C}	326	🍬	2010	Food & Drink	food-sweet	candy
\x{1F9F8}	327	🧸	2018	Activities	game	teddy bear
\x{270D FE0F}	328	✍️	2014	People & Body	hand-prop	writing hand
\x{1F368}	329	🍨	2010	Food & Drink	food-sweet	ice cream
\x{1F4DD}	330	📝	2010	Objects	writing	memo
\x{1F91A}	331	🤚	2016	People & Body	hand-fingers-open	raised back of hand
\x{1F4E9}	332	📩	2010	Objects	mail	envelope with arrow
\x{1F4B5}	333	💵	2010	Objects	money	dollar banknote
\x{1F47C}	334	👼	2010	People & Body	person-fantasy	baby angel
\x{1F4AD}	335	💭	2015	Smileys & Emotion	emotion	thought balloon
\x{1F30D}	336	🌍	2014	Travel & Places	place-map	globe showing Europe-Africa
\x{2B05 FE0F}	337	⬅️	2010	Symbols	arrow	left arrow
\x{26AB}	338	⚫	2010	Symbols	geometric	black circle
\x{1F467}	339	👧	2010	People & Body	person	girl
\x{1F3F5 FE0F}	340	🏵️	2014	Animals & Nature	plant-flower	rosette
\x{1F91C}	341	🤜	2016	People & Body	hand-fingers-closed	right-facing fist
\x{1F37F}	342	🍿	2015	Food & Drink	food-prepared	popcorn
\x{1F9FF}	343	🧿	2018	Activities	game	nazar amulet
\x{1F3C0}	344	🏀	2010	Activities	sport	basketball
\x{1F34F}	345	🍏	2010	Food & Drink	food-fruit	green apple
\x{1F333}	346	🌳	2015	Animals & Nature	plant-other	deciduous tree
\x{1F649}	347	🙉	2010	Smileys & Emotion	monkey-face	hear-no-evil monkey
\x{1F626}	348	😦	2015	Smileys & Emotion	face-concerned	frowning face with open mouth
\x{26BE}	349	⚾	2010	Activities	sport	baseball
\x{1F930}	350	🤰	2016	People & Body	person-role	pregnant woman
\x{1F379}	351	🍹	2010	Food & Drink	drink	tropical drink
\x{1F366}	352	🍦	2010	Food & Drink	food-sweet	soft ice cream
\x{1F6D1}	353	🛑	2016	Travel & Places	transport-ground	stop sign
\x{1F9D8}	354	🧘	2017	People & Body	person-resting	person in lotus position
\x{1F354}	355	🍔	2010	Food & Drink	food-prepared	hamburger
\x{1F3D6 FE0F}	356	🏖️	2014	Travel & Places	place-geographic	beach with umbrella
\x{1F342}	357	🍂	2010	Animals & Nature	plant-other	fallen leaf
\x{1F412}	358	🐒	2010	Animals & Nature	animal-mammal	monkey
\x{1F36A}	359	🍪	2010	Food & Drink	food-sweet	cookie
\x{1F640}	360	🙀	2010	Smileys & Emotion	cat-face	weary cat
\x{1F357}	361	🍗	2010	Food & Drink	food-prepared	poultry leg
\x{1F320}	362	🌠	2010	Travel & Places	sky & weather	shooting star
\x{1F3AC}	363	🎬	2010	Objects	light & video	clapper board
\x{1F335}	364	🌵	2010	Animals & Nature	plant-other	cactus
\x{1F344}	365	🍄	2010	Food & Drink	food-vegetable	mushroom
\x{1F410}	366	🐐	2015	Animals & Nature	animal-mammal	goat
\x{1F369}	367	🍩	2010	Food & Drink	food-sweet	doughnut
\x{1F981}	368	🦁	2015	Animals & Nature	animal-mammal	lion
\x{1F646}	369	🙆	2010	People & Body	person-gesture	person gesturing OK
\x{1F4DE}	370	📞	2010	Objects	phone	telephone receiver
\x{1F478}	371	👸	2010	People & Body	person-role	princess
\x{1F345}	372	🍅	2010	Food & Drink	food-fruit	tomato
\x{1F40D}	373	🐍	2010	Animals & Nature	animal-reptile	snake
\x{1F466}	374	👦	2010	People & Body	person	boy
\x{1F4AC}	375	💬	2010	Smileys & Emotion	emotion	speech balloon
\x{1F964}	376	🥤	2017	Food & Drink	drink	cup with straw
\x{1F3F3 FE0F 200D 1F308}	377	🏳️‍🌈	2016	Flags	flag	rainbow flag
\x{1F63C}	378	😼	2010	Smileys & Emotion	cat-face	cat with wry smile
\x{1F33E}	379	🌾	2010	Animals & Nature	plant-other	sheaf of rice
\x{1F9C0}	380	🧀	2015	Food & Drink	food-prepared	cheese wedge
\x{2601 FE0F}	381	☁️	2010	Travel & Places	sky & weather	cloud
\x{1F3AE}	382	🎮	2010	Activities	game	video game
\x{1F9E0}	383	🧠	2017	People & Body	body-parts	brain
\x{2614}	384	☔	2010	Travel & Places	sky & weather	umbrella with rain drops
\x{1F30F}	385	🌏	2010	Travel & Places	place-map	globe showing Asia-Australia
\x{1F6CC}	386	🛌	2015	People & Body	person-resting	person in bed
\x{1F51D}	387	🔝	2010	Symbols	arrow	TOP arrow
